Seccion,Casilla,Eleccion,Municipio,Distrito,Estatus,LN,Total,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente,Combinación PRI PVEM NA PD,Combinación PRI PVEM NA,Combinación PRI PVEM PD,Combinación PRI NA PD,Combinación PVEM NA PD,Combinación PRI PVEM,Combinación PRI NA,Combinación PRI PD,Combinación PVEM NA,Combinación PVEM PD,Combinación NA PD,Combinación PRD PT,Votos Anulados
469,EXTRAORDINARIA 1 CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,659,379,81,173,3,9,14,17,0,0,0,0,12,0,69,0,0,0,0,0,0,0,0,0,0,0,0,1
469,EXTRAORDINARIA 1 CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,659,358,83,158,5,11,15,23,0,0,0,0,7,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3
469,EXTRAORDINARIA 1 CONTIGUA 4,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,659,378,97,158,5,5,12,30,0,0,0,0,13,0,53,0,0,0,0,0,0,0,0,0,0,0,0,5
469,EXTRAORDINARIA 1 CONTIGUA 5,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,659,377,95,135,2,8,17,45,0,0,0,0,4,0,67,0,0,0,0,0,0,0,0,0,0,0,0,4
469,EXTRAORDINARIA 1 CONTIGUA 6,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,658,370,90,145,2,9,15,26,0,0,0,0,6,0,76,0,0,0,0,0,0,0,0,0,0,0,0,1
469,EXTRAORDINARIA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,693,429,106,153,11,4,26,24,0,0,0,0,11,0,88,0,0,0,0,0,0,0,0,0,0,0,0,6
469,EXTRAORDINARIA 2 CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,693,416,92,175,10,5,30,26,0,0,0,0,11,0,66,0,0,0,0,0,0,0,0,0,0,0,0,1
469,EXTRAORDINARIA 2 CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,693,435,99,178,3,17,23,24,0,0,0,0,8,0,78,0,0,0,0,0,0,0,0,0,0,0,0,5
469,EXTRAORDINARIA 2 CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,693,443,100,175,3,13,21,27,0,0,0,0,13,0,84,0,0,0,0,0,0,0,0,0,0,0,0,7
469,EXTRAORDINARIA 2 CONTIGUA 4,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,692,420,97,155,4,8,14,37,0,0,0,0,8,0,89,0,0,0,0,0,0,0,0,0,0,0,0,8
469,EXTRAORDINARIA 2 CONTIGUA 5,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,692,423,111,156,4,9,19,24,0,0,0,0,11,0,82,0,0,0,0,0,0,0,0,0,0,0,0,7
469,EXTRAORDINARIA 2 CONTIGUA 6,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,692,405,112,166,6,6,8,24,0,0,0,0,6,0,72,0,0,0,0,0,0,0,0,0,0,0,0,5
470,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,727,383,69,166,10,9,12,23,0,0,0,0,8,0,76,0,0,0,0,0,0,0,0,0,0,0,0,10
470,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,727,398,103,158,5,9,14,31,0,0,0,0,7,0,61,0,0,0,0,0,0,0,0,0,0,0,0,10
470,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,726,388,79,140,2,9,20,25,0,0,0,0,8,0,69,0,0,0,0,0,0,0,0,0,0,0,0,36
470,CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,726,394,79,176,6,5,19,20,0,0,0,0,10,0,70,0,0,0,0,0,0,0,0,0,0,0,0,9
471,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,503,248,44,130,12,9,11,5,0,0,0,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,6
471,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,502,256,49,125,9,5,9,15,0,0,0,0,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,10
472,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,699,334,60,139,8,2,9,22,0,0,0,0,8,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1
472,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,699,327,62,114,5,5,25,16,0,0,0,0,11,0,82,0,0,0,0,0,0,0,0,0,0,0,0,7
472,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,699,324,53,139,5,1,14,27,0,0,0,0,10,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5
472,CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,699,339,59,145,6,10,15,16,0,0,0,0,12,0,69,0,0,0,0,0,0,0,0,0,0,0,0,7
472,CONTIGUA 4,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,699,305,63,128,8,2,15,12,0,0,0,0,5,0,67,0,0,0,0,0,0,0,0,0,0,0,0,5
472,CONTIGUA 5,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,699,333,70,124,6,13,10,22,0,0,0,0,8,0,78,0,0,0,0,0,0,0,0,0,0,0,0,2
472,CONTIGUA 6,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,699,317,78,122,6,6,11,26,0,0,0,0,8,0,54,0,0,0,0,0,0,0,0,0,0,0,0,6
472,CONTIGUA 7,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,699,340,58,142,5,5,26,21,0,0,0,0,6,0,73,0,0,0,0,0,0,0,0,0,0,0,0,4
472,CONTIGUA 8,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,698,327,69,132,5,2,19,19,0,0,0,0,9,0,70,0,0,0,0,0,0,0,0,0,0,0,0,2
472,CONTIGUA 9,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,698,352,76,138,2,7,12,27,0,0,0,0,7,0,76,0,0,0,0,0,0,0,0,0,0,0,0,7
473,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,620,305,48,106,24,10,19,23,0,0,0,0,10,0,53,0,0,0,0,0,0,0,0,0,0,0,0,12
473,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,620,301,45,124,12,15,11,16,0,0,0,0,21,0,52,0,0,0,0,0,0,0,0,0,0,0,0,5
473,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,619,321,47,137,18,7,13,27,0,0,0,0,10,0,56,0,0,0,0,0,0,0,0,0,0,0,0,6
474,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,683,323,49,134,5,7,18,15,0,0,0,0,8,0,80,0,0,0,0,0,0,0,0,0,0,0,0,7
474,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,683,326,51,142,6,7,8,19,0,0,0,0,4,0,81,0,0,0,0,0,0,0,0,0,0,0,0,8
474,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,683,354,54,144,14,5,10,30,0,0,0,0,13,0,81,0,0,0,0,0,0,0,0,0,0,0,0,3
474,CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,683,353,70,145,10,7,18,29,0,0,0,0,4,0,66,0,0,0,0,0,0,0,0,0,0,0,0,4
474,CONTIGUA 4,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,683,345,63,153,9,9,12,22,0,0,0,0,4,0,67,0,0,0,0,0,0,0,0,0,0,0,0,6
474,CONTIGUA 5,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,683,343,58,150,8,11,12,17,0,0,0,0,7,0,75,0,0,0,0,0,0,0,0,0,0,0,0,5
474,CONTIGUA 6,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,683,342,58,148,12,6,9,27,0,0,0,0,5,0,70,0,0,0,0,0,0,0,0,0,0,0,0,7
474,CONTIGUA 7,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,683,312,58,137,3,7,8,21,0,0,0,0,4,0,66,0,0,0,0,0,0,0,0,0,0,0,0,8
474,CONTIGUA 8,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,683,363,85,137,8,6,17,26,0,0,0,0,10,0,70,0,0,0,0,0,0,0,0,0,0,0,0,4
475,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,600,330,62,148,7,9,7,14,0,0,0,0,9,0,68,0,0,0,0,0,0,0,0,0,0,0,0,6
475,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,599,334,59,153,5,7,8,18,0,0,0,0,9,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
476,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,543,280,43,156,8,3,10,11,0,0,0,0,5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,6
476,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,543,265,51,131,13,1,12,6,0,0,0,0,5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,7
476,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,543,246,30,145,9,7,8,2,0,0,0,0,7,0,29,0,0,0,0,0,0,0,0,0,0,0,0,9
477,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,631,356,59,178,3,8,15,17,0,0,0,0,12,0,55,0,0,0,0,0,0,0,0,0,0,0,0,9
477,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,630,317,56,135,3,5,13,19,0,0,0,0,13,0,64,0,0,0,0,0,0,0,0,0,0,0,0,9
478,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,444,247,42,121,4,4,9,9,0,0,0,0,8,0,43,0,0,0,0,0,0,0,0,0,0,0,0,7
478,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,443,247,48,106,2,4,6,26,0,0,0,0,9,0,42,0,0,0,0,0,0,0,0,0,0,0,0,4
479,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,648,311,54,126,12,9,18,15,0,0,0,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,9
479,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,647,377,52,172,5,12,17,22,0,0,0,0,9,0,79,0,0,0,0,0,0,0,0,0,0,0,0,9
480,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,724,399,74,179,17,6,12,23,0,0,0,0,8,0,73,0,0,0,0,0,0,0,0,0,0,0,0,7
480,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,724,400,82,178,8,5,18,30,0,0,0,0,5,0,70,0,0,0,0,0,0,0,0,0,0,0,0,4
480,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,724,383,78,187,15,6,10,13,0,0,0,0,10,0,56,0,0,0,0,0,0,0,0,0,0,0,0,8
480,CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,724,355,56,152,10,12,17,23,0,0,0,0,5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,8
480,CONTIGUA 4,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,724,372,70,167,16,6,9,26,0,0,0,0,11,0,62,0,0,0,0,0,0,0,0,0,0,0,0,5
480,CONTIGUA 5,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,724,388,69,174,15,5,13,30,0,0,0,0,11,0,64,0,0,0,0,0,0,0,0,0,0,0,0,7
480,CONTIGUA 6,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,390,76,160,15,7,15,25,0,0,0,0,8,0,76,0,0,0,0,0,0,0,0,0,0,0,0,8
480,CONTIGUA 7,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,376,85,151,15,7,16,22,0,0,0,0,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,7
481,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,533,289,39,138,1,6,15,17,0,0,0,0,14,0,55,0,0,0,0,0,0,0,0,0,0,0,0,4
481,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,532,297,42,139,12,5,13,16,0,0,0,0,8,0,59,0,0,0,0,0,0,0,0,0,0,0,0,3
482,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,622,341,56,157,7,8,21,16,0,0,0,0,7,0,60,0,0,0,0,0,0,0,0,0,0,0,0,9
482,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,622,283,47,134,9,7,6,11,0,0,0,0,11,0,50,0,0,0,0,0,0,0,0,0,0,0,0,8
482,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,622,305,38,173,4,9,8,17,0,0,0,0,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1
482,CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,622,322,32,161,8,8,9,22,0,0,0,0,9,0,60,0,0,0,0,0,0,0,0,0,0,0,0,13
483,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,721,341,61,154,9,4,7,22,0,0,0,0,7,0,63,0,0,0,0,0,0,0,0,0,0,0,0,14
483,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,721,310,61,137,9,6,16,29,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,6
483,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,721,326,63,152,9,4,16,9,0,0,0,0,15,0,55,0,0,0,0,0,0,0,0,0,0,0,0,3
483,CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,721,327,50,139,10,6,19,17,0,0,0,0,7,0,65,0,0,0,0,0,0,0,0,0,0,0,0,14
483,CONTIGUA 4,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,721,307,49,136,5,10,16,20,0,0,0,0,7,0,56,0,0,0,0,0,0,0,0,0,0,0,0,8
483,CONTIGUA 5,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,721,319,41,143,6,9,21,22,0,0,0,0,9,0,62,0,0,0,0,0,0,0,0,0,0,0,0,6
483,CONTIGUA 6,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,721,323,56,135,6,8,14,19,0,0,0,0,10,0,64,0,0,0,0,0,0,0,0,0,0,0,0,11
483,CONTIGUA 7,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,721,363,62,163,7,10,12,23,0,0,0,0,15,0,63,0,0,0,0,0,0,0,0,0,0,0,0,8
483,CONTIGUA 8,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,720,351,65,132,10,11,13,26,0,0,0,0,9,0,73,0,0,0,0,0,0,0,0,0,0,0,0,12
483,EXTRAORDINARIA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,666,385,69,166,8,11,16,27,0,0,0,0,6,0,80,0,0,0,0,0,0,0,0,0,0,0,0,2
483,EXTRAORDINARIA 1 CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,665,382,70,162,7,13,15,36,0,0,0,0,14,0,58,0,0,0,0,0,0,0,0,0,0,0,0,7
483,EXTRAORDINARIA 1 CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,665,379,76,162,1,13,13,32,0,0,0,0,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,10
484,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,581,333,64,134,6,6,16,23,0,0,0,0,6,0,74,0,0,0,0,0,0,0,0,0,0,0,0,4
484,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,580,337,72,133,2,6,16,20,0,0,0,0,8,0,72,0,0,0,0,0,0,0,0,0,0,0,0,8
485,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,470,265,66,91,3,5,8,13,0,0,0,0,2,0,67,0,0,0,0,0,0,0,0,0,0,0,0,10
485,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,469,261,30,119,1,7,8,17,0,0,0,0,9,0,59,0,0,0,0,0,0,0,0,0,0,0,0,11
486,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,392,231,41,108,9,6,9,15,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2
486,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,392,225,42,103,5,3,10,19,0,0,0,0,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5
487,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,605,346,71,138,5,4,14,21,0,0,0,0,9,0,80,0,0,0,0,0,0,0,0,0,0,0,0,4
487,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,604,385,83,168,8,5,10,21,0,0,0,0,6,0,71,0,0,0,0,0,0,0,0,0,0,0,0,13
488,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,509,276,45,123,11,9,10,23,0,0,0,0,5,0,47,0,0,0,0,0,0,0,0,0,0,0,0,3
488,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,508,264,33,116,9,5,11,18,0,0,0,0,9,0,59,0,0,0,0,0,0,0,0,0,0,0,0,4
488,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,508,281,48,107,10,8,5,16,0,0,0,0,5,0,77,0,0,0,0,0,0,0,0,0,0,0,0,5
489,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,695,351,81,124,8,4,11,31,0,0,0,0,5,0,80,0,0,0,0,0,0,0,0,0,0,0,0,7
489,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,695,374,72,142,0,3,9,42,0,0,0,0,7,0,87,0,0,0,0,0,0,0,0,0,0,0,0,12
490,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,544,303,54,125,4,6,8,43,0,0,0,0,7,0,52,0,0,0,0,0,0,0,0,0,0,0,0,4
490,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,544,323,66,115,2,12,9,47,0,0,0,0,6,0,55,0,0,0,0,0,0,0,0,0,0,0,0,11
490,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,544,300,61,116,4,7,8,43,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,9
491,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,724,433,112,165,9,7,13,42,0,0,0,0,11,0,65,0,0,0,0,0,0,0,0,0,0,0,0,9
491,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,724,459,103,182,5,5,12,45,0,0,0,0,6,0,91,0,0,0,0,0,0,0,0,0,0,0,0,10
491,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,479,122,207,4,6,15,44,0,0,0,0,7,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
491,CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,470,105,212,6,7,18,48,0,0,0,0,9,0,62,0,0,0,0,0,0,0,0,0,0,0,0,3
491,CONTIGUA 4,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,461,116,179,6,6,7,50,0,0,0,0,6,0,86,0,0,0,0,0,0,0,0,0,0,0,0,5
491,CONTIGUA 5,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,477,115,188,9,14,22,46,0,0,0,0,5,0,76,0,0,0,0,0,0,0,0,0,0,0,0,2
491,CONTIGUA 6,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,460,115,177,2,8,17,33,0,0,0,0,9,0,95,0,0,0,0,0,0,0,0,0,0,0,0,4
491,CONTIGUA 7,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,480,103,209,1,2,6,38,0,0,0,0,13,0,99,0,0,0,0,0,0,0,0,0,0,0,0,9
491,CONTIGUA 8,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,450,104,205,3,7,11,38,0,0,0,0,3,0,76,0,0,0,0,0,0,0,0,0,0,0,0,3
491,CONTIGUA 9,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,442,119,181,3,6,16,39,0,0,0,0,10,0,66,0,0,0,0,0,0,0,0,0,0,0,0,2
491,CONTIGUA 10,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,488,125,174,10,10,20,35,0,0,0,0,8,0,97,0,0,0,0,0,0,0,0,0,0,0,0,9
491,CONTIGUA 11,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,456,93,196,9,10,12,49,0,0,0,0,10,0,71,0,0,0,0,0,0,0,0,0,0,0,0,6
491,CONTIGUA 12,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,453,117,164,2,3,15,45,0,0,0,0,8,0,94,0,0,0,0,0,0,0,0,0,0,0,0,5
491,CONTIGUA 13,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,723,474,123,179,4,4,15,39,0,0,0,0,8,0,92,0,0,0,0,0,0,0,0,0,0,0,0,10
492,BASICA,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,711,434,80,135,10,7,70,28,0,0,0,0,3,0,91,0,0,0,0,0,0,0,0,0,0,0,0,10
492,CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,711,437,97,127,4,1,64,24,0,0,0,0,6,0,110,0,0,0,0,0,0,0,0,0,0,0,0,4
492,CONTIGUA 2,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,711,427,88,131,4,4,49,33,0,0,0,0,2,0,111,0,0,0,0,0,0,0,0,0,0,0,0,5
492,CONTIGUA 3,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,710,423,84,143,6,5,37,29,0,0,0,0,6,0,106,0,0,0,0,0,0,0,0,0,0,0,0,7
492,CONTIGUA 4,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,710,440,90,144,3,5,63,26,0,0,0,0,9,0,98,0,0,0,0,0,0,0,0,0,0,0,0,2
492,EXTRAORDINARIA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,745,455,105,180,4,11,37,30,0,0,0,0,14,0,65,0,0,0,0,0,0,0,0,0,0,0,0,9
492,EXTRAORDINARIA 1 CONTIGUA 1,Ayuntamiento,Gral. Escobedo,17,Acta contabilizada,744,470,134,171,4,9,24,51,0,0,0,0,14,0,55,0,0,0,0,0,0,0,0,0,0,0,0,8
494,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,681,433,139,155,0,0,2,0,3,0,0,0,128,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2
494,CONTIGUA 1,Ayuntamiento,Gral. Terán,24,Acta contabilizada,680,408,154,134,0,0,2,0,2,1,0,0,101,0,0,0,0,0,1,0,1,3,0,0,0,0,0,9
495,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,579,351,140,125,0,0,2,0,7,0,0,0,65,0,0,1,0,0,0,0,2,0,0,0,0,0,0,9
495,CONTIGUA 1,Ayuntamiento,Gral. Terán,24,Acta contabilizada,579,363,145,133,0,0,0,0,7,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
495,CONTIGUA 2,Ayuntamiento,Gral. Terán,24,Acta contabilizada,578,345,166,90,0,0,1,0,6,0,0,0,70,0,0,2,0,0,0,0,1,3,0,0,0,0,0,6
496,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,538,337,105,147,0,0,5,0,6,2,0,0,65,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4
496,CONTIGUA 1,Ayuntamiento,Gral. Terán,24,Acta contabilizada,537,353,123,148,0,0,0,0,3,0,0,0,68,0,0,0,1,0,0,0,3,2,0,0,0,0,0,5
497,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,603,393,142,159,0,0,1,0,17,0,0,0,63,0,0,0,0,0,0,0,1,2,0,0,0,0,0,8
497,CONTIGUA 1,Ayuntamiento,Gral. Terán,24,Acta contabilizada,603,347,137,150,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
498,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,157,115,50,43,0,0,0,0,2,0,0,0,12,0,0,2,0,0,0,0,2,1,0,0,0,0,0,3
502,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,394,270,109,114,0,0,4,0,2,0,0,0,26,0,0,1,0,0,0,0,1,0,1,0,0,0,0,12
502,CONTIGUA 1,Ayuntamiento,Gral. Terán,24,Acta contabilizada,393,254,103,95,0,0,1,0,0,1,0,0,44,0,0,1,0,0,0,0,0,1,0,2,0,0,0,6
503,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,608,442,198,130,0,0,0,0,4,1,0,0,97,0,0,0,0,1,0,0,0,1,0,1,0,0,0,9
504,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,457,305,119,140,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
505,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,504,320,125,120,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
505,CONTIGUA 1,Ayuntamiento,Gral. Terán,24,Acta contabilizada,504,322,139,92,0,0,1,0,3,0,0,0,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
506,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,635,369,117,162,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
507,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,687,395,149,166,0,0,2,0,5,0,0,0,63,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8
508,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,749,423,142,154,0,0,3,0,1,0,0,0,106,0,0,0,1,0,0,0,0,3,0,0,0,0,0,13
508,CONTIGUA 1,Ayuntamiento,Gral. Terán,24,Acta contabilizada,547,350,114,117,0,0,1,0,2,0,0,0,101,0,0,0,0,0,0,0,2,1,0,0,0,0,0,12
509,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,408,273,70,100,0,0,4,0,6,2,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
509,CONTIGUA 1,Ayuntamiento,Gral. Terán,24,Acta contabilizada,408,261,57,108,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
513,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,272,173,77,77,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4
514,BASICA,Ayuntamiento,Gral. Terán,24,Acta contabilizada,484,345,197,97,0,0,3,0,1,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
516,BASICA,Ayuntamiento,Gral. Treviño,22,Acta contabilizada,573,396,262,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
